file,path,set,channel,rms,crest,kurtosis,anomaly_score,health_score,alarm
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch0,0.12461381908219489,5.777850364407115,1.069162755087433,0.5092107066087552,71.30824144924146,0
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch1,0.11749315326627814,5.966305103799002,3.065883592752141,0.6679873328728797,26.783312825821028,1
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch2,0.1304552822390205,5.166521342998814,0.20948595542523396,0.6160804168567944,41.33930752767018,0
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch3,0.12164211343019993,4.357043667280287,0.29222120268840834,0.6392372123485626,34.845564143156096,1
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch4,0.12888705027471,3.8483307589007327,0.4054385194284036,0.6468901327721989,32.699494260953834,1
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch5,0.1318211210655727,5.947453592084549,0.7770628011388991,0.5901242587673651,48.61806204880202,0
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch6,0.10902048975995292,3.788278707108883,0.7902499082593719,0.6113339196344808,42.670343808055776,0
2003.10.22.12.06.24,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.06.24,1st_test,ch7,0.1152674244979501,4.086150116109256,1.8079901939024747,0.6833144333515689,22.485211330186537,1
2003.10.22.12.09.13,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.09.13,1st_test,ch0,0.12381119580648291,5.282236357824383,1.1615516078597246,0.522112757428174,67.69018440049963,0
2003.10.22.12.09.13,C:\Users\fguls\OneDrive\Masaüstü\IMS_ETIMADEN\data\raw\ims\1st_test\1st_test\2003.10.22.12.09.13,1st_test,ch1,0.11683251358448447,4.972930755058107,2.0010160035353532,0.6405861120422353,34.46729900429981,1
